pmid,gene,year,title
41100780,LIS1,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41100780,DCX,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41100780,SATB2,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41083500,PAX6,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,TBR2,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,SOX2,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,HOPX,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,MTOR,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,TSC2,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,LIS1,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,DCX,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41083500,SATB2,2025,Capturing disease severity in LIS1-lissencephaly reveals proteostasis dysregulation in patient-deriv
41070651,PAX6,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,TBR2,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,SOX2,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,HOPX,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,MTOR,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,TSC2,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,LIS1,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,DCX,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41070651,SATB2,2025,"[Clinical phenotype and genetic analysis of a child with Cortical dysplasia, complex, with other bra"
41041166,PAX6,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,TBR2,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,SOX2,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,HOPX,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,MTOR,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,TSC2,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,LIS1,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,DCX,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41041166,SATB2,2025,Characterization of normative fetal rhesus macaque brain development with magnetic resonance imaging
41040362,PAX6,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,TBR2,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,SOX2,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,HOPX,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,MTOR,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,TSC2,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,LIS1,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,DCX,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41040362,SATB2,2025,Dissecting Gene Regulatory Networks Governing Human Cortical Cell Fate.
41038154,PAX6,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,TBR2,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,SOX2,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,HOPX,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,MTOR,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,TSC2,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,LIS1,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,DCX,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41038154,SATB2,2025,From genetic predisposition to mental health: Human cortical development in vitro.
41034302,PAX6,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,TBR2,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,SOX2,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,HOPX,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,MTOR,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,TSC2,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,LIS1,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,DCX,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41034302,SATB2,2025,Morphological and metabolic alterations in different stages of Alzheimer's diseases: a study using s
41010370,PAX6,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,TBR2,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,SOX2,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,HOPX,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,MTOR,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,TSC2,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,LIS1,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,DCX,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
41010370,SATB2,2025,Ferreting Out the Effects of Neonatal Hypoxia-Ischemia and Sex on Ferret Cortical Gyrification.
40997800,PAX6,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,TBR2,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,SOX2,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,HOPX,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,MTOR,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,TSC2,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,LIS1,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,DCX,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40997800,SATB2,2025,Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical 
40993764,PAX6,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,TBR2,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,SOX2,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,HOPX,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,MTOR,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,TSC2,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,LIS1,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,DCX,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40993764,SATB2,2025,Cell-cell communication dysregulation in tuberous sclerosis complex cortical tubers and focal cortic
40984776,PAX6,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,TBR2,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,SOX2,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,HOPX,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,MTOR,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,TSC2,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,LIS1,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,DCX,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40984776,SATB2,2025,Cortical Morphology and Morphometric Similarity Network Topology Alterations in Preterm Neonates: In
40967207,PAX6,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,TBR2,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,SOX2,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,HOPX,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,MTOR,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,TSC2,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,LIS1,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,DCX,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967207,SATB2,2025,High-throughput bioprinting to produce micropatterned neuroepithelial tissues and model TSC2-deficie
40967178,PAX6,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,TBR2,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,SOX2,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,HOPX,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,MTOR,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,TSC2,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,LIS1,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,DCX,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40967178,SATB2,2025,Unlocking the epigenome: Single-cell histone profiling in cortical development.
40966225,PAX6,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,TBR2,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,SOX2,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,HOPX,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,MTOR,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,TSC2,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,LIS1,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,DCX,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40966225,SATB2,2025,Humans have a longer period of cortical maturation across depth and hierarchy than macaques.
40948389,PAX6,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,TBR2,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,SOX2,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,HOPX,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,MTOR,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,TSC2,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,LIS1,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,DCX,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40948389,SATB2,2025,"Characterization of a Ferret Model of Traumatic Brain Injury due to Under-Vehicle Blast, Controlled "
40944913,PAX6,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,TBR2,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,SOX2,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,HOPX,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,MTOR,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,TSC2,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,LIS1,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,DCX,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40944913,SATB2,2025,Adducins regulate morphology and fate of neural progenitors during neocortical neurogenesis.
40940041,PAX6,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,TBR2,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,SOX2,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,HOPX,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,MTOR,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,TSC2,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,LIS1,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,DCX,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40940041,SATB2,2025,Laser interstitial thermal therapy (LITT) for refractory epilepsy due to focal cortical dysplasia in
40901969,PAX6,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,TBR2,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,SOX2,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,HOPX,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,MTOR,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,TSC2,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,LIS1,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,DCX,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40901969,SATB2,2025,Galectin-3 induces neurodevelopmental apical-basal polarity and regulates gyrification.
40882620,PAX6,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,TBR2,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,SOX2,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,HOPX,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,MTOR,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,TSC2,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,LIS1,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,DCX,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40882620,SATB2,2025,Molecular and developmental deficits in Smith-Magenis syndrome human stem cell-derived cortical neur
40862306,PAX6,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,TBR2,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,SOX2,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,HOPX,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,MTOR,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,TSC2,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,LIS1,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,DCX,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40862306,SATB2,2025,Mechanics of the Spatiotemporal Evolution of Sulcal Pits in the Folding Brain.
40857898,PAX6,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,TBR2,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,SOX2,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,HOPX,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,MTOR,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,TSC2,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,LIS1,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,DCX,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40857898,SATB2,2025,Intraparietal sulcus depth is associated with negative symptomatology in patients with first-episode
40851311,PAX6,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,TBR2,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,SOX2,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,HOPX,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,MTOR,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,TSC2,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,LIS1,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,DCX,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40851311,SATB2,2025,Modeling MPPH syndrome in vivo using Breasi-CRISPR.
40848386,PAX6,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,TBR2,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,SOX2,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,HOPX,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,MTOR,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,TSC2,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,LIS1,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,DCX,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40848386,SATB2,2025,Strabismus and amblyopia disrupt spatial perception but not the fidelity of cortical maps in human p
40834340,PAX6,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,TBR2,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,SOX2,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,HOPX,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,MTOR,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,TSC2,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,LIS1,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,DCX,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40834340,SATB2,2025,Ultra-High Field 7T MRI in a Drug-Resistant Pediatric Epilepsy Cohort: Image Comparison and Radiolog
40829437,PAX6,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,TBR2,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,SOX2,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,HOPX,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,MTOR,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,TSC2,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,LIS1,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,DCX,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40829437,SATB2,2025,Utility of MR fingerprinting in differentiating epileptogenic from non-epileptogenic cortical malfor
40817382,PAX6,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,TBR2,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,SOX2,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,HOPX,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,MTOR,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,TSC2,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,LIS1,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,DCX,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40817382,SATB2,2025,A comparative analysis of imaging-based algorithms for detecting focal cortical dysplasia type II in
40811891,PAX6,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,TBR2,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,SOX2,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,HOPX,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,MTOR,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,TSC2,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,LIS1,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,DCX,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40811891,SATB2,2025,Both online and face-to-face mindfulness meditation can change cortical structure in internet gaming
40800293,PAX6,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,TBR2,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,SOX2,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,HOPX,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,MTOR,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,TSC2,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,LIS1,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,DCX,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40800293,SATB2,2024,Systematic cross-species comparison of prefrontal cortex functional networks targeted via transcrani
40798945,PAX6,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,TBR2,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,SOX2,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,HOPX,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,MTOR,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,TSC2,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,LIS1,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,DCX,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40798945,SATB2,2025,A Prenatal Ultrasound Study of Cerebral Cortical Sulci and Gyri Development in Fetuses With Overgrow
40794890,PAX6,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,TBR2,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,SOX2,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,HOPX,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,MTOR,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,TSC2,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,LIS1,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,DCX,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
40794890,SATB2,2025,Longitudinal magnetic resonance imaging reveals differences in cortical expansion in fetuses with co
